Sales,Customer Name,Commodity,HS Code,,,,,,,,,,,,,,,,,,,,,,,
FEWW,KEW (THAILAND) LIMITED,ELECTRONIC GOODS,,,,,,,,,,,,,,,,,,,,,,,,
FEWW,KUIBURI FRUIT CANNING,CANNED FOOD,,,,,,,,,,,,,,,,,,,,,,,,
FEWW,KHON KAEN FISHING NET FACTORY,FISHING NET,,,,,,,,,,,,,,,,,,,,,,,,
FEWW,KYB Asian Pacific Corporation Limited,AUTO PARTS,870880,,,,,,,,,,,,,,,,,,,,,,,
FEWW,ORIENTAL COPPER,COPPER,7407100,,,,,,,,,,,,,,,,,,,,,,,
FEWW,OJI LABEL,PRINTED MATERIAL & PAPER PRODUCT,48092000,,,,,,,,,,,,,,,,,,,,,,,
FEWW,OJI PAPER,PRINTED MATERIAL & PAPER PRODUCT,48092000,,,,,,,,,,,,,,,,,,,,,,,
FEWW,PATAYA FOOD INDUSTRIES LTD.,CANNED FOOD ,,,,,,,,,,,,,,,,,,,,,,,,
FEWW,PQ CHEMICALS (THAILAND) LIMITED,SODIUM ALUMINO SILICATE,284210,,,,,,,,,,,,,,,,,,,,,,,
FEWW,Sappe Public Company Limited,FRUIT JUICE,220299,,,,,,,,,,,,,,,,,,,,,,,
FEWW,SURASIRI,PRINTED MATERIAL & PAPER PRODUCT,48092000,,,,,,,,,,,,,,,,,,,,,,,
FEWW,SEA-TECH INTERTRADE,FROZEN SEAFOOD,,,,,,,,,,,,,,,,,,,,,,,,
FEWW,SIAM COMPRESSOR INDUSTRY,AUTO AIR-CONDITIONING PARTS,841590,,,,,,,,,,,,,,,,,,,,,,,
FEWW,"Solmax Geosynthetics Co., Ltd.",PLASTIC & MELAMINE PRODUCTS,HDPE SHEET: 39201000 / HDPE WELDING ROD: 39161000,,,,,,,,,,,,,,,,,,,,,,,
FEWW,"SURAPON FOODS PUBLIC CO.,LTD.",FROZEN CHICKEN,160232,,,,,,,,,,,,,,,,,,,,,,,
FEWW,SURAPON SUPREME FOODS,FROZEN CHICKEN,160232,,,,,,,,,,,,,,,,,,,,,,,
FEWW,SURAT SEAFOODS,FROZEN SEAFOOD,160529,,,,,,,,,,,,,,,,,,,,,,,
FEWW,"TAKERNG PINEAPPLE INDUSTRIAL CO.,LTD.",CANNED FOOD,,,,,,,,,,,,,,,,,,,,,,,,
FEWW,THAIPLY VENEER & PANEL INDUSTRY CO.LTD,MDF BOARD,441114,,,,,,,,,,,,,,,,,,,,,,,
FEWW,TROPICAL PREMIER FOODS,CANNED FOOD,,,,,,,,,,,,,,,,,,,,,,,,
FEWW,UNIVERSAL FOOD PUBLIC,CANNED GOODS,200599,,,,,,,,,,,,,,,,,,,,,,,
FEWW,VANDAPAC COMPANY LIMITED.,CAR ACCESSORIES,87082919,,,,,,,,,,,,,,,,,,,,,,,
FEWW,VARAVOOT INDUSTRY,MODIFIED STARCH,,,,,,,,,,,,,,,,,,,,,,,,
FEWW,"Y.T. RUBBER CO.LTD.,",RUBBER PRODUCTS,400122,,,,,,,,,,,,,,,,,,,,,,,
PAE,ASIA GOLDEN RICE,RICE,100630,,,,,,,,,,,,,,,,,,,,,,,
PAE,DAIKIN TRADING (THAILAND) LTD.,AIR CONDITIONERS,841590,,,,,,,,,,,,,,,,,,,,,,,
PAE,DOUBLE A,PRINTED MATERIAL & PAPER PRODUCT,480256,,,,,,,,,,,,,,,,,,,,,,,
PAE,GREEN SPOT,FOODSTUFFS,22029920,,,,,,,,,,,,,,,,,,,,,,,
PAE,"KJ WORLD FOOD CO.,LTD.",RICE,100630,,,,,,,,,,,,,,,,,,,,,,,
PAE,NR Instant Produce Public Company Limited,FOODSTUFFS,210390,,,,,,,,,,,,,,,,,,,,,,,
PAE,"OTANI RADIAL CO., LTD.",RADIAL TIRE,401120,,,,,,,,,,,,,,,,,,,,,,,
PAE,OTANI TIRE,RADIAL TIRE,401120,,,,,,,,,,,,,,,,,,,,,,,
PAE,PV WOOD COMPANY LIMITED,MDF BOARD,,,,,,,,,,,,,,,,,,,,,,,,
PAE,"STAMFORD SPORT WHEELS CO.,LTD.",ALLOY WHEEL,870870,,,,,,,,,,,,,,,,,,,,,,,
PAE,SUPER GRIP,PLASTIC BAG,392321,,,,,,,,,,,,,,,,,,,,,,,
PAE,THAI GRIPTECH,PLASTIC BAG,392321,,,,,,,,,,,,,,,,,,,,,,,
PAE,THAI COMMODITIES,FOODSTUFFS,91099,,,,,,,,,,,,,,,,,,,,,,,
PAE,THAI GRANLUX INTERNATIONAL RICE,RICE,100630,,,,,,,,,,,,,,,,,,,,,,,
PAE,VANACHAI GROUP PUBLIC COMPANY LIMITED,MDF BOARD,441114,,,,,,,,,,,,,,,,,,,,,,,
PAE,"VANACHAI PANEL INDUSTRIES CO.,LTD.",MDF BOARD,441114,,,,,,,,,,,,,,,,,,,,,,,
PAE,VEE RUBBER CORPORATION,TIRES RUBBER,401110,,,,,,,,,,,,,,,,,,,,,,,
BOAT,BIS PIPE FITTING INDUSTRY,MARLEABLE IRON PIPE FITTINGS,730719,,,,,,,,,,,,,,,,,,,,,,,
BOAT,"Jongstit Co., Ltd",YARN / NYLON / POLYESTER,550320,,,,,,,,,,,,,,,,,,,,,,,
BOAT,KORN THAI,NON DAILY CREME,21069030,,,,,,,,,,,,,,,,,,,,,,,
BOAT,KORN THAI,"INSTANT GINGER BEVERAGE MIX,COCONUT MILK POWDER",21069099,,,,,,,,,,,,,,,,,,,,,,,
BOAT,KORN THAI,HONEY POWDER,17029020,,,,,,,,,,,,,,,,,,,,,,,
BOAT,POLYPLEX,PLASTIC FILM,392062,,,,,,,,,,,,,,,,,,,,,,,
BOAT,POLYPLEX,POLYETHYLENE,39012000,,,,,,,,,,,,,,,,,,,,,,,
BOAT,RUBBER INTERTRADE,AUTO SPARE PARTS,87089999,,,,,,,,,,,,,,,,,,,,,,,
BOAT,THAI POLYESTER,YARN / NYLON / POLYESTER,550320,,,,,,,,,,,,,,,,,,,,,,,
NUT,BANGSUE CHIA MENG RICE MILL,RICE,100630,,,,,,,,,,,,,,,,,,,,,,,
NUT,BERLI JUCKER LOGISTICS LIMITED,HYGIENE&PERSONAL CARE PRODUCTS&COSMETICS,,,,,,,,,,,,,,,,,,,,,,,,
NUT,CAPITAL CEREALS,RICE,100630,,,,,,,,,,,,,,,,,,,,,,,
NUT,GREEN PANEL COMPANY LIMITED ,MDF BOARD,,,,,,,,,,,,,,,,,,,,,,,,
NUT,IRPC PUBLIC COMPANY LIMITED,WAX / POLYETHYLENE,390120,,,,,,,,,,,,,,,,,,,,,,,
NUT,"KRUNGSIAM BEVERAGE CO.,LTD.","BEVERAGE, SPIRITS AND VINEGAR",220299,,,,,,,,,,,,,,,,,,,,,,,
